Frame;Time_s;Fx_N;Fy_N;Fz_N;Mx_Nm;My_Nm;Mz_Nm;COPx_mm;COPy_mm
48;0.047;3.371;0.303;7.972;0.0721;0.0119;-0.0088;2.405;3.911
49;0.048;0.404;-0.243;3.981;-0.0032;-0.0158;-0.0032;6.429;-1.664
50;0.049;-0.787;1.482;9.307;-0.0127;0.0347;-0.0003;-0.482;4.956
51;0.05;2.868;0.647;2.543;0.0594;0.0386;0.0102;-1.063;-3.615
52;0.051;0.356;0.351;3.476;-0.0017;-0.0049;0.0037;-2.656;-1.24
53;0.052;0.152;-0.951;5.055;-0.0089;-0.0351;0.0025;0.496;-1.461
54;0.053;0.379;0.652;3.229;-0.0042;0.0134;0.0055;1.399;-0.154
55;0.054;-0.199;-2.566;3.988;0.0031;-0.0408;-0.0028;-1.212;6.224
56;0.055;-0.464;1.045;7.067;-0.0276;0.004;-0.0018;4.433;-2.644
57;0.056;-2.152;1.004;3.28;-0.0359;0.0148;-0.0001;-5.268;9.903
58;0.057;0.752;0.223;1.152;0.0249;-0.0106;0.0108;6.406;3.444
59;0.058;-0.142;0.794;2.992;-0.0018;-0.0011;-0.0023;6.172;5.04
60;0.059;1.79;-1.673;7.065;0.0411;-0.0301;-0.0038;-9.022;5.889
61;0.06;-0.553;-0.595;5.132;-0.0201;-0.0153;0.0035;0.871;-2.049
62;0.061;-2.86;-1.071;7.325;-0.0627;-0.0301;-0.0018;-3.16;-2.528
63;0.062;-0.149;0.689;4.661;-0.0082;0.0069;-0.0063;-0.502;-3.095
64;0.063;2.549;0.686;5.206;0.0677;0.005;-0.0033;-10.718;-5.198
65;0.064;-0.575;1.87;4.951;-0.0142;0.0427;-0.0109;6.42;-2.271
66;0.065;-1.335;-1.243;5.104;-0.0189;-0.0262;0.0056;-2.955;2.53
67;0.066;-1.79;-1.06;4.154;-0.0326;-0.0162;-0.0074;7.888;2.335
68;0.067;-1.575;0.501;-1.374;-0.0458;-0.007;0.0015;0.741;-1.764
69;0.068;-0.45;-0.739;8.268;-0.0157;-0.0252;-0.003;5.216;-11.032
70;0.069;-1.77;-0.797;9.636;-0.0287;-0.0024;-0.0008;4.96;-3.857
71;0.07;2.246;0.733;5.53;0.0456;0.013;0.0006;-7.379;5.069
72;0.071;-0.424;-0.002;6.994;-0.0093;0.0086;0.0056;1.337;8.606
73;0.072;0.163;-0.685;3.416;-0.0034;-0.0018;0.0005;-2.137;-10.364
74;0.073;2.157;1.299;4.902;0.0609;0.0259;-0.0007;-6.232;5.515
75;0.074;2.255;-0.139;9.106;0.0514;-0.0128;-0.0059;-1.916;-9.878
76;0.075;-0.319;-1.678;2.036;0.0013;-0.0306;0.0043;-8.568;-6.471
77;0.076;0.498;-0.256;9.001;-0.0076;0.003;0.0004;-0.797;-1.041
78;0.077;1.103;-0.011;8.125;0.0185;-0.0041;0.0087;-1.119;2.164
79;0.078;-0.289;-0.831;-0.208;0.001;-0.0209;-0.0097;3.662;-4.765
80;0.079;-2.667;1.213;5.511;-0.0501;0.0188;-0.0007;-2.525;3.767
81;0.08;0.982;0.331;8.321;0.0045;0.0282;0.0047;0.358;6.792
82;0.081;1.342;0.826;4.389;0.0299;0.0126;0.0058;-8.249;3.089
83;0.082;0.623;1.047;6.578;0.001;0.0332;-0.0065;-5.92;9.224
84;0.083;-1.385;-0.303;0.758;-0.0155;-0.0163;-0.0016;-0.933;0.257
85;0.084;-0.294;-0.249;7.174;-0.0279;-0.0058;-0.0028;6.249;7.382
86;0.085;-0.886;0.141;6.298;-0.0157;0.0119;0.0019;-5.34;-1.208
87;0.086;-0.45;-0.42;8.583;-0.0041;-0.0127;0.0006;5.87;2.639
88;0.087;1.945;1.735;1.94;0.0348;0.0264;-0.0034;0.112;0.921
89;0.088;2.294;-0.992;5.365;0.054;-0.0085;-0.0089;0.725;12.227
90;0.089;1.004;-1.54;6.486;0.0381;-0.0326;0.0008;1.236;-1.167
91;0.09;0.823;0.7;4.1;0.0142;0.0196;-0.0049;-2.183;-4.556
92;0.091;1.015;-0.181;5.361;0.0073;-0.0065;0.0029;3.54;5.351
93;0.092;-0.018;-1.624;8.901;-0.0127;-0.0457;0.0002;2.323;-4.534
94;0.093;-0.113;0.912;5.058;0.0132;0.0252;-0.0058;1.841;8.265
95;0.094;-1.01;0.964;1.653;-0.0163;0.0285;0.0109;5.816;0.497
96;0.095;-0.084;-0.946;5.189;-0.0026;-0.0148;0.0021;5.77;11.737
97;0.096;3.39;-1.33;3.694;0.0582;-0.0288;-0.0014;-1.449;-2.192
98;0.097;1.304;1.018;3.251;0.039;0.0239;-0.0051;0.068;2.995
99;0.098;-0.513;0.907;7.848;-0.0203;0.0255;-0.0019;2.707;-6.151
100;0.099;-0.708;0.998;4.73;-0.0284;0.0054;0.0039;5.76;-7.509
101;0.1;-1.297;-0.296;2.344;-0.0278;0.01;-0.0016;-3.077;-1.762
102;0.101;0.562;1.094;1.354;0.02;0.0206;-0.0074;6.629;2.109
103;0.102;0.587;2.051;4.66;0.0138;0.0412;0.0066;4.897;5.904
104;0.103;-2.165;0.965;8.013;-0.0569;0.0075;-0.0043;4.993;7.958
105;0.104;0.73;0.902;6.051;0.004;0.0146;0.0016;0.534;-0.177
106;0.105;-0.854;1.46;6.487;-0.0159;0.0305;-0.0102;-0.969;-4.439
107;0.106;2.14;0.694;1.2;0.0571;0.0236;-0.0077;-2.994;-1.528
108;0.107;0.235;0.134;7.12;0.0027;0.0061;0.0064;-10.472;-1.461
109;0.108;2.577;0.547;3.277;0.0628;0.0078;-0.0054;-1.413;-1.832
110;0.109;-0.687;1.265;7.962;-0.0249;0.0051;-0.0007;-3.051;-3.888
111;0.11;-0.432;0.496;8.338;-0.011;0.0096;-0.0024;4.697;-6.234
112;0.111;0.45;0.935;4.667;0.0199;0.0221;-0.0069;-5.142;-8.401
113;0.112;1.584;-0.336;0.662;0.0275;-0.0278;-0.0061;-2.02;2.396
114;0.113;0.849;0.018;7.508;0.016;0.0228;-0.0067;2.557;9.131
115;0.114;-1.85;-1.613;5.382;-0.0259;-0.0367;0.0005;2.488;-4.013
116;0.115;0.274;1.172;4.476;0.0018;0.0459;0.0027;3.974;4.167
117;0.116;0.033;0.54;2.634;0.0109;0.0106;-0.0008;-4.762;7.424
118;0.117;-0.644;-1.087;2.688;-0.0242;-0.024;0.0114;-5.927;-9.17
119;0.118;-0.972;0.659;5.409;-0.0206;0.0228;-0.001;1.363;-6.424
120;0.119;2.621;-0.815;4.615;0.0513;-0.0193;0.002;-4.7;-5.432
121;0.12;-0.586;0.722;7.667;-0.0143;0.0148;-0.013;0.881;4.991
122;0.121;-1.269;2.383;-1.175;-0.0286;0.0421;-0.0031;1.281;4.03
123;0.122;0.956;0.278;4.697;0.0139;0.0078;0.01;-4.034;-6.46
124;0.123;0.196;-0.742;9.21;-0.0075;-0.0109;0.0036;2.533;0.415
125;0.124;-0.114;-0.426;6.711;0.0089;-0.0066;-0.0029;3.898;12.587
126;0.125;1.172;0.397;1.243;0.0277;0.0177;-0.0002;-0.299;0.719
127;0.126;0.733;-0.399;6.637;0.0072;-0.0101;-0.0047;5.671;-7.697
128;0.127;0.543;0.867;3.02;0.0108;0.0129;-0.0068;-3.2;-2.136
129;0.128;1.446;-2.127;2.773;0.0096;-0.052;0.0007;0.756;2.794
130;0.129;0.425;1.719;2.775;0.018;0.0212;0.002;0.16;10.347
131;0.13;-0.925;-0.09;1.43;-0.0131;0.0134;0.0089;-4.822;-3.756
132;0.131;-0.543;0.031;4.189;-0.0173;0.0132;0.0003;0.413;-2.032
133;0.132;-0.781;1.591;5.668;-0.0231;0.0222;0.0049;0.261;-2.308
134;0.133;0.315;1.214;3.603;0.0149;0.0371;0.0023;5.382;-0.116
135;0.134;-1.617;-2.034;2.461;-0.0235;-0.0203;0.0026;8.205;9.56
136;0.135;-2.749;-1.569;5.014;-0.0699;-0.0459;-0.0036;-0.332;1.384
137;0.136;0.132;1.093;1.764;0.0102;0.0292;-0.0004;-0.397;-9.006
138;0.137;-2.005;-0.414;3.99;-0.028;0.002;-0.0089;-1.617;5.976
139;0.138;-2.928;-1.023;3.497;-0.0616;-0.0242;0.0022;6.955;-3.781
140;0.139;0.56;0.97;7.36;0.0069;0.0243;0.0001;17.684;-5.253
141;0.14;-1.067;-0.119;4.66;-0.0257;-0.0143;-0.0009;2.431;3.274
142;0.141;0.744;0.504;12.797;0.0073;-0.0042;0.0042;0.49;0.272
143;0.142;-0.796;-0.945;4.794;-0.0228;-0.0145;-0.0015;4.627;-4.444
144;0.143;-1.683;-0.515;8.214;-0.0272;-0.0103;0.0045;-0.912;1.882
145;0.144;-1.865;-0.202;4.696;-0.0253;0.0023;0.0014;-1.159;0.989
146;0.145;-0.772;0.339;4.598;-0.0115;-0.0011;0.0032;-5.186;1.914
147;0.146;-0.41;1.215;-0.832;-0.0084;0.0182;0.0003;-3.783;5.239
148;0.147;-1.235;-1.882;6.663;-0.0195;-0.0382;0.0085;-2.081;-2.932
149;0.148;-0.422;-0.939;2.55;0.0041;-0.0081;-0.0025;1.471;7.686
150;0.149;-2.304;-0.878;4.142;-0.0382;-0.012;-0.0005;0.021;2.542
151;0.15;0.022;0.133;5.209;0.0201;0.0041;-0.0008;-7.966;-1.367
152;0.151;-2.69;-0.863;7.277;-0.0597;-0.0059;0.0008;-5.867;2.602
153;0.152;-0.291;0.077;-0.737;-0.0125;0.0042;-0.0028;0.384;3.602
154;0.153;1.046;1.298;5.142;0.0293;0.0342;-0.0081;5.278;-3.377
155;0.154;1.638;0.154;5.188;0.0231;0.0039;0.0054;-2.757;0.32
156;0.155;2.572;1.429;2.34;0.0512;0.0298;-0.0034;0.33;-7.013
157;0.156;-2.334;-0.03;3.779;-0.0362;-0.0072;-0.0021;1.895;3.491
158;0.157;1.138;-2.124;4.441;0.026;-0.0525;-0.004;-5.139;0.944
159;0.158;1.809;-0.052;6.148;0.0441;-0.0111;-0.0026;8.476;3.716
160;0.159;1.471;0.34;2.181;0.0372;-0.0072;-0.0056;1.953;-2.204
161;0.16;-1.394;-0.77;2.98;-0.0197;-0.0167;-0.0067;12.614;-0.027
162;0.161;0.618;-0.179;7.352;0.0186;0.0018;-0.0;-6.933;0.013
163;0.162;2.79;1.488;4.382;0.055;0.0473;0.0006;-0.081;1.545
164;0.163;-2.246;0.54;1.265;-0.0362;0.0133;-0.0026;10.102;11.796
165;0.164;0.715;-1.28;8.918;0.032;-0.0121;0.0007;5.962;-2.895
166;0.165;1.668;-1.499;5.968;0.0306;-0.0287;-0.0067;2.263;2.596
167;0.166;-1.045;0.761;5.089;-0.0269;0.0145;-0.0017;-12.819;2.264
168;0.167;0.874;0.682;3.226;0.0278;0.0055;-0.0009;7.176;2.063
169;0.168;-1.606;-1.412;8.571;-0.0326;-0.0383;0.0106;-0.33;0.439
170;0.169;-1.218;-0.246;1.864;-0.0328;0.0072;-0.002;5.059;0.827
171;0.17;-1.226;0.081;3.931;-0.0177;0.015;0.0048;-5.315;-3.435
172;0.171;0.288;1.15;7.497;-0.0027;0.0298;-0.0033;-0.019;0.2
173;0.172;-0.136;0.955;4.512;-0.0077;0.0182;-0.0045;-1.43;0.323
174;0.173;1.431;2.756;3.732;0.0374;0.0419;0.002;9.261;-7.383
175;0.174;-1.41;-0.802;6.978;-0.0433;-0.0223;-0.0034;-0.58;-4.117
176;0.175;-0.197;-2.107;6.212;-0.0046;-0.0355;-0.001;4.753;3.531
177;0.176;1.442;-0.118;4.693;0.0406;-0.003;0.0031;0.258;0.314
178;0.177;0.841;1.191;2.328;0.0115;0.0375;-0.0039;0.722;-11.648
179;0.178;-1.987;-1.323;5.142;-0.029;-0.0159;0.0009;0.878;-6.584
180;0.179;0.998;-1.25;3.388;0.0298;-0.0288;-0.0021;0.634;1.604
181;0.18;-0.718;0.273;7.054;-0.0292;-0.009;-0.0009;-6.717;-0.826
182;0.181;0.578;0.035;3.835;0.0105;0.0143;0.0006;7.542;-1.208
183;0.182;0.451;1.524;8.863;0.0119;0.0316;0.0038;4.637;-5.807
184;0.183;1.829;-0.566;11.44;0.0483;-0.0192;0.0019;-6.654;-2.571
185;0.184;0.175;3.101;10.875;0.0016;0.0649;0.0019;8.828;8.221
186;0.185;-2.781;1.05;5.315;-0.0537;0.0257;0.0057;8.936;7.386
187;0.186;-2.055;1.065;3.99;-0.0546;0.016;-0.0109;0.069;-0.762
188;0.187;1.097;-1.542;2.366;0.0162;-0.0298;0.0036;0.859;-2.108
189;0.188;-0.387;0.567;3.396;-0.0195;0.0071;-0.0074;4.452;2.721
190;0.189;1.707;2.174;4.545;0.025;0.0396;-0.0035;-13.111;-2.569
191;0.19;0.41;-0.3;-2.003;-0.0013;0.0066;0.0032;3.678;12.88
192;0.191;-1.124;2.129;2.834;-0.0051;0.0436;0.0038;-1.706;5.251
193;0.192;1.624;0.96;1.768;0.0341;0.0241;-0.0044;-0.732;-0.198
194;0.193;-1.211;1.466;1.763;-0.0135;0.0146;0.0042;2.427;3.83
195;0.194;-3.079;0.53;3.748;-0.0604;0.0075;0.0005;-7.438;1.5
196;0.195;3.096;1.236;11.175;0.0624;0.0185;-0.0006;-2.522;-4.895
197;0.196;-2.866;-2.066;2.999;-0.0425;-0.0477;0.0027;-2.658;-0.147
198;0.197;0.955;-0.156;12.088;0.016;-0.0062;0.009;-3.706;-5.254
199;0.198;1.408;-0.528;3.031;0.0256;-0.0098;-0.0052;-1.324;5.345
200;0.199;0.221;0.119;2.704;-0.0074;-0.0022;0.0064;2.037;-2.91
201;0.2;-2.525;-0.488;6.282;-0.0462;-0.0064;-0.0002;3.954;-0.166
202;0.201;1.523;-1.461;5.767;0.033;-0.0282;0.0025;3.238;7.31
203;0.202;-2.162;0.488;9.624;-0.0434;0.006;-0.0018;-3.867;4.529
204;0.203;-2.015;0.378;5.126;-0.0367;-0.0026;-0.0009;6.529;1.303
205;0.204;-0.543;-0.016;6.401;-0.0116;0.0106;-0.0111;-6.518;-6.238
206;0.205;1.183;1.116;4.061;0.0185;0.0408;0.0048;4.634;-0.321
207;0.206;0.45;-0.434;1.598;0.0039;-0.0113;0.0044;-3.729;-0.455
208;0.207;1.216;1.109;5.588;0.046;0.0256;0.0018;-4.153;-9.697
209;0.208;-0.665;0.917;10.222;-0.0107;0.0128;0.0009;1.465;-2.307
210;0.209;-0.258;-1.049;7.105;0.0084;-0.0169;0.0002;-1.895;5.856
211;0.21;-1.706;0.981;5.002;-0.0406;0.0313;0.0032;3.115;-5.428
212;0.211;-0.475;-0.332;4.177;-0.0132;-0.0098;-0.0007;-1.031;-2.652
213;0.212;0.89;0.423;3.156;0.0153;0.0059;-0.005;-2.694;-3.828
214;0.213;-0.45;-0.477;10.996;-0.0174;-0.0172;-0.0026;3.592;0.353
215;0.214;0.713;1.57;5.365;0.0167;0.0408;0.0005;2.015;4.332
216;0.215;-0.86;0.569;4.491;-0.019;0.0114;0.0092;-4.649;1.972
217;0.216;-0.889;-3.138;1.63;-0.0247;-0.0652;0.0028;6.449;-3.356
218;0.217;0.059;-1.131;2.868;-0.0094;-0.0071;0.0032;0.363;7.624
219;0.218;-0.292;-1.505;3.996;0.0071;-0.0374;-0.0051;6.953;-5.922
220;0.219;0.889;-0.333;6.923;0.0175;-0.0008;-0.0019;2.338;0.404
221;0.22;0.267;0.815;6.357;0.022;0.0309;-0.0002;-3.573;-5.212
222;0.221;2.611;0.083;-2.981;0.0426;0.0024;-0.0077;12.021;2.848
223;0.222;-0.329;-2.071;3.032;-0.0115;-0.0353;-0.0019;2.319;0.717
224;0.223;-0.341;-2.529;8.165;-0.0093;-0.0463;-0.0045;0.316;1.318
225;0.224;-1.56;-0.004;8.239;-0.0305;0.0046;-0.0043;4.086;1.137
226;0.225;0.034;-0.349;10.031;0.0142;-0.0109;0.0004;-0.861;2.788
227;0.226;1.024;0.974;8.395;0.0039;-0.0076;0.003;1.648;-6.586
228;0.227;-1.11;0.661;6.71;-0.0355;0.0136;-0.0056;0.832;1.585
229;0.228;-0.075;0.292;4.278;-0.0218;0.0042;-0.0002;-4.007;1.377
230;0.229;1.078;1.66;6.073;0.0221;0.0422;0.0065;-1.273;7.473
231;0.23;-0.19;0.414;6.563;0.0027;0.0242;-0.0022;0.455;3.362
232;0.231;-0.779;0.85;5.357;-0.0208;0.0107;-0.0069;-0.228;4.949
233;0.232;1.46;-0.552;5.553;0.0468;-0.0174;-0.0044;-1.099;1.418
234;0.233;0.146;0.475;5.355;-0.0164;0.0277;-0.0015;-9.517;-0.376
235;0.234;0.595;2.027;5.873;0.0174;0.0486;-0.0081;0.914;-1.839
236;0.235;1.757;-1.336;6.105;0.044;-0.0087;0.0035;2.419;4.008
237;0.236;1.718;-1.493;6.003;0.022;-0.0148;0.004;5.783;7.19
238;0.237;-0.521;-0.56;3.949;-0.0114;0.0018;-0.0029;-0.715;-5.028
239;0.238;-0.788;1.326;3.989;0.01;0.0141;0.0091;6.674;0.471
240;0.239;0.426;0.065;6.959;0.0096;-0.0104;0.0048;-5.053;-4.967
241;0.24;-0.199;-0.881;2.111;0.0053;-0.0036;-0.0029;8.952;-3.913
242;0.241;-2.85;0.706;4.171;-0.0459;0.0288;0.0036;3.295;-2.068
243;0.242;1.913;-0.073;6.136;0.0595;-0.0096;0.004;3.932;-6.329
244;0.243;0.029;-0.014;10.079;-0.0012;0.0045;0.0056;-5.596;-1.163
245;0.244;1.105;-1.585;3.551;0.0106;-0.0249;-0.0004;-2.382;3.73
246;0.245;-1.759;-2.223;0.037;-0.022;-0.0427;-0.004;0.735;-1.684
247;0.246;1.932;0.527;2.809;0.0371;0.0072;-0.0021;0.68;-6.713
248;0.247;-0.882;-0.66;8.772;-0.0234;-0.024;0.0068;-7.621;-5.43
249;0.248;-0.162;0.841;3.318;0.0037;0.0202;0.0027;2.547;0.535
250;0.249;-2.102;2.406;8.572;-0.0427;0.0519;0.0108;2.29;1.917
251;0.25;-0.25;0.997;-0.95;-0.0072;0.0184;0.0009;-1.1;0.242
252;0.251;-0.345;-1.436;0.738;-0.0073;-0.0311;-0.0063;-4.372;-1.103
253;0.252;-0.278;0.32;3.629;-0.0005;0.0122;-0.0032;-7.246;-1.835
254;0.253;0.658;-0.698;5.698;0.0042;-0.019;-0.0016;-9.107;4.317
255;0.254;0.091;0.375;9.035;0.0098;0.0147;-0.0012;7.77;-0.94
256;0.255;1.464;1.074;0.691;0.0337;0.0096;-0.0025;10.497;-6.413
257;0.256;-0.702;-0.369;4.783;-0.0062;-0.0023;-0.0068;3.42;-4.597
258;0.257;-1.494;0.685;7.368;-0.022;0.0149;-0.007;3.301;-6.865
259;0.258;-0.029;0.179;7.629;-0.015;-0.0097;0.0028;-2.343;-8.076
260;0.259;0.943;0.596;5.214;0.001;-0.0025;0.0079;-1.22;-0.501
261;0.26;1.867;1.018;6.107;0.0344;0.0066;0.0062;-4.9;4.208
262;0.261;1.221;-0.054;3.768;0.0327;0.0109;-0.0022;-0.376;0.382
263;0.262;-2.648;1.362;7.107;-0.0425;0.0237;0.0046;-5.967;-1.559
264;0.263;0.566;1.556;7.896;0.0066;0.0346;-0.0049;9.508;-5.864
265;0.264;2.191;-1.03;4.728;0.042;-0.0195;-0.0026;-12.237;2.646
266;0.265;0.094;-0.172;8.765;-0.0148;0.0014;0.0104;-6.818;5.526
267;0.266;-0.774;-0.022;5.046;-0.0216;0.0069;0.0047;1.86;-1.881
268;0.267;0.464;-2.291;2.898;0.0046;-0.0222;0.0011;-0.715;-4.954
269;0.268;-0.755;-1.069;6.83;-0.0211;-0.0116;-0.0035;3.678;-4.656
270;0.269;0.959;1.531;8.345;0.0115;0.0391;0.0022;0.882;-7.799
271;0.27;-0.019;0.715;4.694;0.0138;0.0237;-0.0032;3.47;1.609
272;0.271;2.09;0.099;6.11;0.0504;-0.0073;0.0007;4.145;-1.855
273;0.272;0.749;0.268;3.722;0.0121;0.0013;0.0046;-3.561;-0.952
274;0.273;-1.086;1.163;6.617;-0.0305;0.0285;0.0139;-1.7;4.672
275;0.274;0.907;-1.39;2.626;0.0212;-0.0116;0.0014;0.409;-10.909
276;0.275;1.404;1.79;2.257;0.0188;0.0188;0.0056;-1.399;1.494
277;0.276;-0.853;-0.663;9.778;-0.0167;-0.005;0.0057;1.681;-8.144
278;0.277;-0.639;-0.439;6.641;-0.0158;-0.0138;-0.0141;-1.661;-15.723
279;0.278;-3.458;-1.225;1.691;-0.0636;-0.0246;0.0009;-2.211;-2.515
280;0.279;1.355;0.385;4.14;0.0299;0.0288;-0.0021;6.066;0.023
281;0.28;-0.882;-1.011;2.629;-0.0046;-0.0339;0.002;-2.388;1.549
282;0.281;-3.184;-0.097;7.045;-0.0736;0.0126;0.0023;0.157;-4.131
283;0.282;-2.653;-1.071;3.343;-0.0666;-0.0392;-0.0074;4.912;-8.865
284;0.283;-0.334;1.372;1.675;0.0035;0.0327;0.0003;1.909;3.092
285;0.284;1.141;1.549;3.925;0.0136;0.0257;-0.0088;0.476;-1.91
286;0.285;-0.134;-0.911;-1.228;-0.0107;-0.013;0.0033;-1.753;-4.344
287;0.286;0.708;-1.617;3.901;0.001;-0.0239;-0.0049;7.22;-0.197
288;0.287;-1.652;-1.547;0.241;-0.0443;-0.021;0.0032;-1.323;7.249
289;0.288;-2.012;0.917;2.442;-0.0317;0.0241;-0.0013;-6.382;-0.878
290;0.289;1.329;-1.583;7.081;0.016;-0.0277;0.0063;-8.398;0.775
291;0.29;0.738;-1.077;8.951;0.0255;-0.0317;0.0004;4.411;-1.726
292;0.291;-0.046;-0.124;7.279;-0.0029;0.0078;-0.0028;2.535;2.619
293;0.292;1.923;1.739;7.342;0.0529;0.0423;0.0024;-2.954;0.022
294;0.293;-1.427;0.047;-1.839;-0.0377;0.0096;0.0015;5.323;0.079
295;0.294;-0.63;-0.351;2.531;0.0127;-0.0041;-0.013;-3.936;4.169
296;0.295;1.54;0.79;7.101;0.0414;0.0287;-0.0035;6.749;9.226
297;0.296;2.757;-2.039;7.346;0.0717;-0.0289;-0.0038;0.071;-3.494
298;0.297;0.013;-1.317;4.056;-0.0135;-0.0266;0.0004;-5.714;-2.941
299;0.298;2.519;1.132;2.773;0.0432;0.0105;0.0039;0.076;5.544
300;0.299;-0.904;1.291;7.315;-0.0238;0.0188;0.0043;-6.333;6.862
301;0.3;0.495;0.646;1.842;0.0085;0.0167;0.0021;-10.307;-0.138
302;0.301;-0.261;0.466;3.414;-0.0162;0.0106;-0.0053;0.461;-2.718
303;0.302;-2.382;-0.363;1.695;-0.031;0.0053;0.0019;-2.237;-1.868
304;0.303;0.387;-0.293;-0.959;0.0283;-0.0055;0.0111;-1.67;-0.85
305;0.304;1.399;2.088;5.412;0.0401;0.0575;0.0063;1.463;-4.705
306;0.305;-0.222;-1.189;8.099;0.0134;-0.0381;-0.0073;7.319;6.028
307;0.306;-0.106;1.503;6.672;-0.001;0.0395;-0.0043;0.862;2.663
308;0.307;2.089;-0.063;2.762;0.0476;-0.0152;-0.0085;-3.294;1.19
309;0.308;-1.875;-1.86;6.856;-0.0313;-0.0543;0.0013;3.678;2.925
310;0.309;-2.246;0.657;1.963;-0.0589;0.0104;-0.0005;2.427;3.208
311;0.31;-0.981;-0.96;-3.551;-0.006;-0.0181;0.0049;-2.188;5.258
312;0.311;-1.795;0.476;3.553;-0.0281;0.0202;-0.0035;2.413;2.73
313;0.312;2.019;0.425;6.479;0.0293;0.0041;0.0103;-4.362;2.725
