Frame,micro,Fx,Force_Y,Fz1
108,2,41.42,814.24,80.93
108,3,41.73,823.71,81.82
109,0,24.41,867.12,85.86
109,1,24.35,864.86,85.64
109,2,25.67,911.84,90.21
109,3,24.54,871.49,86.28
110,0,24.72,944.55,89.4
110,1,25.92,993.72,94.41
110,2,24.45,933.68,88.3
110,3,24.96,954.51,90.42
111,0,23.46,992.61,109.41
112,0,21.65,1098.12,116.36
113,0,20.68,1072.52,125.34
113,1,19.93,1033.32,120.64
113,2,20.29,1052.08,122.89
113,3,20.15,1044.72,122.01
113,4,20.51,1063.46,124.26
113,5,19.28,999.42,116.57
113,6,20.6,1068.26,124.83
113,7,18.96,982.99,114.6
114,0,22.0,1017.0,125.44
114,1,22.47,1041.74,128.6
114,2,23.37,1088.78,134.62
114,3,22.05,1019.76,125.79
114,4,22.34,1035.1,127.75
114,5,21.98,1015.97,125.31
114,6,22.18,1026.62,126.67
114,7,21.66,999.31,123.18
115,0,20.74,996.3,131.5
115,1,22.04,1061.16,140.39
115,2,21.88,1053.15,139.29
116,0,27.15,978.06,144.72
116,1,26.86,964.71,142.76
116,2,28.16,1024.08,151.5
116,3,28.82,1054.7,156.01
117,0,18.1,959.87,152.21
117,1,17.97,954.35,151.33
117,2,18.1,959.83,152.2
117,3,16.39,890.02,141.12
117,4,16.12,878.69,139.32
117,5,17.82,948.24,150.36
117,6,18.31,968.41,153.56
117,7,17.33,928.37,147.21
118,0,14.87,865.08,158.74
118,1,14.34,845.99,155.47
119,0,35.36,757.91,144.68
120,0,28.29,705.11,149.22
120,1,30.61,765.12,161.14
120,2,29.27,730.43,154.25
120,3,29.61,739.29,156.01
120,4,28.64,714.16,151.02
121,0,27.44,637.29,144.95
121,1,28.15,652.98,148.27
122,0,30.98,612.51,144.95
122,1,29.89,592.02,140.38
122,2,29.83,590.86,140.12
122,3,30.47,602.99,142.82
122,4,29.04,575.95,136.8
122,5,30.92,611.46,144.71
123,0,32.6,513.44,115.68
124,0,23.96,400.27,95.0
124,1,26.36,436.15,103.16
124,2,25.41,421.94,99.93
124,3,24.17,403.36,95.71
124,4,25.88,429.05,101.55
125,0,23.34,414.94,75.42
126,0,31.36,374.96,78.37
127,0,18.48,392.59,57.85
127,1,16.32,358.81,52.76
127,2,16.83,366.8,53.96
127,3,16.47,361.25,53.13
127,4,18.35,390.51,57.54
127,5,18.22,388.52,57.24
128,0,13.29,318.57,23.0
128,1,13.67,325.88,23.75
128,2,14.26,337.23,24.91
129,0,5.06,300.03,13.42
129,1,4.9,295.57,13.19
129,2,4.5,284.07,12.62
130,0,5.39,334.43,0.94
130,1,5.29,326.69,0.96
130,2,5.46,338.86,0.92
130,3,5.13,315.37,0.99
130,4,5.1,313.03,0.99
130,5,5.33,329.36,0.95
130,6,5.11,313.26,0.99
130,7,5.44,338.06,0.93
131,0,-0.74,321.93,-13.56
132,0,-9.45,304.11,-33.13
132,1,-10.12,322.37,-34.91
132,2,-9.72,311.52,-33.85
132,3,-10.11,322.07,-34.88
133,0,-27.46,321.92,-31.15
133,1,-27.08,316.23,-30.36
134,0,-26.16,302.29,-65.3
134,1,-26.2,302.71,-65.37
134,2,-28.22,323.34,-69.01
134,3,-26.31,303.79,-65.56
134,4,-25.91,299.77,-64.85
134,5,-28.07,321.81,-68.74
135,0,-45.23,276.82,-67.49
135,1,-44.72,273.06,-66.69
136,0,-40.18,260.28,-64.31
136,1,-37.19,243.82,-60.16
136,2,-38.18,249.27,-61.53
136,3,-39.14,254.57,-62.87
136,4,-41.45,267.32,-66.08
136,5,-37.75,246.92,-60.94
136,6,-37.15,243.57,-60.1
137,0,-53.3,225.73,-74.49
137,1,-49.4,209.51,-69.72
137,2,-50.69,214.87,-71.3
137,3,-53.21,225.36,-74.38
137,4,-52.0,220.3,-72.89
137,5,-51.6,218.64,-72.41
137,6,-53.92,228.32,-75.25
138,0,-62.96,160.38,-64.93
138,1,-62.82,159.96,-64.78
138,2,-66.17,170.41,-68.36
138,3,-62.77,159.8,-64.73
139,0,-72.54,157.83,-62.13
139,1,-73.19,159.33,-62.73
139,2,-73.52,160.09,-63.03
139,3,-75.83,165.43,-65.16
139,4,-73.76,160.66,-63.26
139,5,-74.67,162.75,-64.09
140,0,-71.7,103.37,-43.27
140,1,-74.99,108.89,-45.82
141,0,-68.42,77.09,-53.28
141,1,-74.11,83.93,-56.85
141,2,-69.4,78.27,-53.9
141,3,-69.62,78.53,-54.03
141,4,-69.94,78.92,-54.24
141,5,-72.66,82.18,-55.94
141,6,-71.83,81.19,-55.42
142,0,-81.37,87.37,-33.56
142,1,-83.82,89.56,-34.71
142,2,-81.19,87.22,-33.48
142,3,-78.39,84.72,-32.16
142,4,-78.0,84.36,-31.97
142,5,-78.37,84.7,-32.15
142,6,-78.57,84.87,-32.24
143,0,-70.38,36.91,-13.45
143,1,-68.76,35.67,-12.96
143,2,-68.48,35.46,-12.88
143,3,-72.49,38.52,-14.09
143,4,-70.74,37.19,-13.56
143,5,-70.28,36.83,-13.42
143,6,-71.25,37.58,-13.72
144,0,-76.64,68.54,11.55
144,1,-72.42,64.91,12.01
144,2,-77.18,69.01,11.49
144,3,-73.19,65.57,11.93
144,4,-72.51,64.99,12.0
144,5,-72.73,65.18,11.98
145,0,-57.08,76.26,-4.0
145,1,-58.19,77.66,-3.87
146,0,-46.46,131.19,25.24
147,0,-41.69,174.96,27.93
147,1,-42.25,176.99,28.39
148,0,-33.03,254.41,46.0
148,1,-30.17,235.62,41.81
148,2,-32.47,250.75,45.18
148,3,-32.2,248.98,44.79
148,4,-30.73,239.28,42.62
148,5,-31.69,245.61,44.03
148,6,-31.5,244.38,43.76
149,0,-17.1,300.12,71.8
149,1,-17.02,299.08,71.58
149,2,-16.63,293.98,70.51
149,3,-15.2,275.59,66.65
149,4,-17.17,301.01,71.99
149,5,-14.99,272.84,66.08
149,6,-16.77,295.87,70.91
150,0,-17.19,423.61,89.58
150,1,-17.12,421.63,89.19
150,2,-16.31,395.28,84.06
150,3,-16.66,406.52,86.25
